atom_index_0based,atom_index_1based,element,initial_distance_from_vacancy_A,final_distance_from_vacancy_A,radial_change_A,displacement_A,dx_A,dy_A,dz_A,initial_x_A,initial_y_A,initial_z_A,final_x_A,final_y_A,final_z_A
45,46,Zn,11.925945864073173,11.928698203771749,0.002752339698576023,0.002794949644977485,0.0011887228000001882,-0.0006558769999997785,0.0024430528000006003,8.42892,4.866439,23.146498,8.4301087228,4.865783123,23.1489410528
37,38,Zn,11.925945864073173,11.928676120381656,0.0027302563084834475,0.002780646975827858,-0.001194251599999433,-0.0007098010999992197,0.0024087223000004185,1.685784,4.866439,23.146498,1.6845897484000005,4.8657291989,23.1489067223
182,183,O,11.693925207413923,11.69188884578904,-0.0020363616248832983,0.002770937005847618,4.617199999934728e-05,1.1816299999386044e-05,-0.002770527100002118,-1.685784,10.706166999999999,20.598652,-1.6857378280000006,10.706178816299998,20.5958814729
109,110,Ga,10.111719103748582,10.113774321991812,0.0020552182432300725,0.0027641835531826715,-0.000536785999999226,0.0002354596000001566,0.0027013200999989203,8.42892,2.9198639999999996,20.575779,8.428383214,2.9200994596,20.5784803201
98,99,Ga,10.111719410868167,10.113734001999887,0.0020145911317204224,0.0027601132960609676,-0.0005100300999996163,0.00040377490000086466,0.0026823609999991073,-3.371568,5.839726999999999,20.575779,-3.372078030100001,5.8401307749,20.578461361
102,103,Ga,10.11171926669926,10.113775171016322,0.0020559043170607083,0.002754634062318346,0.00043859620000102776,0.0004056344999998179,0.0026890709999996334,0.0,5.839726999999999,20.575779,0.00043859619999997435,5.840132634499999,20.578468071
101,102,Ga,10.111719103748582,10.11377044013347,0.0020513363848877475,0.0027458899824534225,0.0005277733000002382,0.00021866000000016916,0.0026858061999974685,1.6857840000000002,2.9198639999999996,20.575779,1.6863117733,2.92008266,20.5784648062
108,109,Ga,10.111719359183944,10.113741857896063,0.002022498712118903,0.0027374798343586994,-8.536700000163762e-05,-0.0006007238000001814,0.0026693892999981464,10.114704,0.0,20.575779,10.114618633,-0.0006007237999999999,20.5784483893
96,97,Ga,10.111719359183944,10.11368801231795,0.0019686531340052937,0.002722399428505743,6.679159999982773e-05,-0.0006560168000002984,0.0026413328999986404,0.0,0.0,20.575779,6.679160000000006e-05,-0.0006560167999999999,20.5784203329
122,123,Ga,8.74763,8.750346934487439,0.002716934487439815,0.0027172159979681736,2.813890000060524e-05,2.7174399999318107e-05,-0.002716934400000414,5.057352,6.813015,3.126266,5.057380138900001,6.813042174399999,3.1235490656
272,273,O,7.299262610705002,7.298364961110381,-0.0008976495946209084,0.0026495245112802125,-5.228650000063109e-05,0.002405109400000324,0.0011102679999992857,-1.6857839999999995,4.866439,9.868854,-1.6858362865000003,4.8688441093999995,9.869964268
283,284,O,9.937259138625873,9.93935252266849,0.0020933840426167194,0.0026279679712756807,-0.0020594022000003757,-0.0011745714000002698,0.0011337813999999454,10.114704,1.946576,9.868854,10.1126445978,1.9454014285999999,9.8699877814
271,272,O,7.299262374677938,7.29834217902644,-0.0009201956514983678,0.0026225873534940934,0.0020551966000005076,-0.001206183300000236,0.0010951041999983596,0.0,1.946576,9.868854,0.0020551965999999755,1.9453698166999998,9.8699491042
97,98,Ga,11.676869253742032,11.6787753567155,0.001906102973467938,0.0025312694132474775,-2.3746699999912848e-05,-1.8114899999939002e-05,0.002531093199998636,-1.6857840000000002,2.9198639999999996,20.575779,-1.6858077467000006,2.9198458850999995,20.5783100932
192,193,O,8.83484026342446,8.836029041588615,0.0011887781641544137,0.0025069946712330303,-5.466999997706423e-07,-7.888699999795619e-06,-0.0025069822000010756,-1.6857840000000002,2.9198639999999996,7.699223,-1.6857845467,2.9198561112999997,7.696716017799999
34,35,Zn,12.393371516614964,12.395581678832583,0.0022101622176187163,0.0023738361573664274,0.0004226325000000071,-0.0004945381999986693,0.0022829612000001285,-3.371568,7.786302999999999,23.146498,-3.3711453675000005,7.7858084618,23.1487809612
121,122,Ga,9.374886884120361,9.37706318620202,0.0021763020816596423,0.002341334769273522,-0.0003486320999996857,-0.0003183283000001495,-0.002293244699999963,6.743136,3.8931509999999996,3.126266,6.742787367900001,3.8928326716999995,3.1239727553
38,39,Zn,12.393371398987929,12.395513182209896,0.0021417832219672306,0.002322335624236203,-0.0004539377000004012,-0.000583805199998823,0.002201443800002452,0.0,7.786302999999999,23.146498,-0.0004539376999996847,7.7857191948,23.1486994438
123,124,Ga,9.374886884120361,9.37702440828094,0.0021375241605792183,0.002307381659777079,-0.0004658477999993709,-0.00015953000000088773,-0.002254228499999743,3.371568,9.732879,3.126266,3.3711021522,9.73271947,3.1240117715
118,119,Ga,9.374886740410465,9.377003024076178,0.0021162836657122597,0.0022808509235918836,-9.886929999974013e-05,0.0004691656999994093,-0.002229885500000297,1.6857840000000004,6.813015,3.126266,1.6856851307,6.813484165699999,3.1240361145
117,118,Ga,9.374886884120361,9.37699404538496,0.002107161264598645,0.00228010108770918,0.0003731187000003958,-0.0003035902999997644,-0.002228783599999931,3.3715680000000003,3.8931509999999996,3.126266,3.3719411187000006,3.8928474097,3.1240372164
126,127,Ga,9.374886740410465,9.376991660922295,0.0021049205118295333,0.0022792228266109767,5.7101599999990414e-05,0.0004491298000000309,-0.0022338036000002113,8.428920000000002,6.813015,3.126266,8.428977101600001,6.8134641298,3.1240321964
36,37,Zn,12.393371296212383,12.39547217777888,0.002100881566496682,0.0022703162625082496,-0.0006126425000000918,-7.732780000016407e-05,0.0021847254999999887,3.3715680000000003,1.946576,23.146498,3.3709553574999997,1.9464986722,23.1486827255
127,128,Ga,9.374886884120361,9.376974701777513,0.002087817657152158,0.0022691137506343625,0.00045556299999974687,-0.0001939698000005854,-0.002214433400000304,6.743136,9.732879,3.126266,6.743591563000001,9.732685030199999,3.1240515666
125,126,Ga,12.493731773217895,10.51955618233018,-1.9741755908877145,0.0022653813775112344,-0.00013967479999916403,8.64499000004665e-05,-0.002259418100000485,10.114704,3.8931509999999996,3.126266,10.114564325200002,3.8932374499,3.1240065818999994
113,114,Ga,10.51776809248521,10.519558588594876,0.001790496109665085,0.002253869913083232,0.0001139279000000569,9.153500000038723e-05,-0.0022491268000000182,0.0,3.8931509999999996,3.126266,0.00011392789999975506,3.8932425349999997,3.1240168732
43,44,Zn,12.393371580168651,12.395472309462226,0.0021007292935752986,0.0022448398829728352,0.00018533460000086244,0.0006463247000011138,0.002141779999999179,1.685784,10.706166999999999,23.146498,1.6859693345999993,10.7068133247,23.14863978
32,33,Zn,13.278953032638869,13.280868315695074,0.0019152830562045864,0.002232751717189958,-0.00010232059999882891,4.569609999995454e-05,0.002229937800001466,0.0,1.946576,23.146498,-0.00010232059999992771,1.9466216961,23.1487279378
124,125,Ga,12.49373159041684,10.519565079833548,-1.9741665105832915,0.0022327167885871613,-6.851400000704474e-06,-0.00010456010000007105,-0.0022302566000003167,11.800488,0.973288,3.126266,11.800481148600001,0.9731834399,3.1240357434
33,34,Zn,13.278953162379782,13.280877121915298,0.001923959535515607,0.0022319184541632325,-2.9904499999970027e-05,-0.00011366609999993819,0.0022288215999996387,-1.6857839999999995,4.866439,23.146498,-1.6858139044999998,4.8663253339,23.1487268216
35,36,Zn,12.393371658586675,12.395435260880038,0.0020636022933633313,0.002229163005569414,-0.00023435579999885481,0.0005663103000004207,0.002143254000000838,-5.057352,10.706166999999999,23.146498,-5.0575863558,10.706733310299999,23.148641254
44,45,Zn,14.892967522184538,14.894620625040256,0.0016531028557178473,0.002228405161299576,7.701730000022315e-05,-3.404540000027579e-05,0.002226813600000253,10.114704,1.946576,23.146498,10.1147810173,1.9465419545999998,23.1487248136
