atom_index_0based,atom_index_1based,element,initial_distance_from_vacancy_A,final_distance_from_vacancy_A,radial_change_A,displacement_A,dx_A,dy_A,dz_A
103,104,O,10.131409668907702,10.128706451745094,-0.00270321716260824,0.0031640259489226492,0.0007521514000000365,0.00043371399999965276,-0.0030425681000000896
100,101,O,10.131409633965415,10.12870618119407,-0.002703452771344317,0.00316393411152973,-0.0007509897000003503,0.00043348420000020074,-0.003042792300000937
54,55,Ga,10.11171910374858,10.114365253355642,0.002646149607061332,0.003074047892398619,-5.101100000448151e-06,2.8915999999999996e-06,0.0030740422999998903
60,61,Ga,10.111719103748582,10.114364606703974,0.0026455029553922316,0.003073411536551212,4.684700001238808e-06,2.7898e-06,0.0030734067000004963
55,56,Ga,10.111719170445845,10.114364542782166,0.002645372336321117,0.0030731780239759915,-2.0319999909635435e-07,-5.770300000120689e-06,0.003073172600000958
64,65,Ga,9.374886740410469,9.377829895134377,0.002943154723908492,0.0030259145381870993,-0.0005858803000000171,0.0004874875999999386,-0.002928354300000298
68,69,Ga,9.374886884120365,9.377829974586088,0.002943090465723941,0.0030257746086454268,-0.0007147059999997068,0.00026386769999980203,-0.002928289800000099
71,72,Ga,9.374886884120365,9.377829698509291,0.002942814388926962,0.0030256179917027867,0.0007140470000003172,0.0002631792000000714,-0.0029283507000005095
70,71,Ga,9.374886740410469,9.377829533215445,0.0029427928049763352,0.003025600325675606,0.0005850941999998745,0.00048699119999980745,-0.00292826940000021
63,64,Ga,9.374886572664494,9.377829375149801,0.0029428024853075385,0.0030255983025115193,0.00012909960000022754,-0.0007500572999999566,-0.0029283087999999492
66,67,Ga,9.374886572664494,9.3778293471732,0.002942774508706947,0.0030255315264068315,-0.00012892310000067264,-0.0007500217000000168,-0.002928256700000352
139,140,O,7.766028494901688,7.7681840981537045,0.002155603252016469,0.0030253619535112624,-0.0025264814999999457,0.0014590108000008685,0.0008006207999998081
136,137,O,7.76602858607175,7.768183893889271,0.002155307817520935,0.0030238770196413297,0.0025254955999984155,0.0014572784000000398,0.0008012763999999619
137,138,O,7.766028224905313,7.768183566506223,0.002155341600909466,0.003023876574348236,1.1506000002798212e-06,-0.0029157689999999015,0.0008013234999993688
53,54,In,6.843344608600751,6.845284408000426,0.001939799399674591,0.002986975078096052,1.9879999993107408e-07,-0.0007649448000004305,0.0028873655000013036
45,46,In,6.843344061656549,6.845283728803347,0.0019396671467974969,0.002986640588447424,0.0006624630999999541,0.0003820829999998546,0.00288707070000219
51,52,In,6.84334406165655,6.8452808130485066,0.0019367513919563706,0.0029855867620780887,-0.0006645769999997859,0.0003835525000001341,0.0028852995000018386
47,48,In,7.628815560008788,7.630920774925709,0.00210521491692095,0.0028605725467065073,-3.5457300000508616e-05,2.0363700000490255e-05,0.002860280300000319
46,47,In,7.628815879270449,7.63091775979106,0.002101880520610777,0.0028563913557835244,-3.009000002074612e-07,-4.180519999957666e-05,0.0028560854000024274
50,51,In,7.628815606413717,7.6309173158981345,0.0021017094844175688,0.002856321784959108,3.6433600000184744e-05,2.125789999941758e-05,0.002856010300000794
24,25,Zn,11.925945700851276,11.92861561633469,0.0026699154834144423,0.002685323476688167,0.0009900052000010272,-0.0005715038999998614,0.0024298631999988187
26,27,Zn,11.92594601469871,11.92861537370457,0.0026693590058606276,0.0026846113852496386,6.108000003281992e-07,0.0011415328000001174,0.0024298232000002046
18,19,Zn,11.925945700851274,11.92861502942673,0.002669328575455765,0.002684598004357869,-0.0009884692999999618,-0.0005712664000000403,0.0024297426999974362
69,70,Ga,10.517767814872746,10.519999733981887,0.0022319191091408896,0.0026833742083792996,-1.6700000768642944e-08,-2.1140000005408102e-07,-0.002683374200000138
166,167,O,11.395051200491551,11.392467634405396,-0.0025835660861552867,0.0026743041788667436,0.0002023607000000253,-0.00011672109999905638,-0.0026640813000009286
163,164,O,11.395051262626358,11.392468249258364,-0.002583013367994269,0.0026738403712150286,-0.00020180890000000198,-0.0001167889999991945,-0.0026636545999996508
164,165,O,11.39505101648189,11.392468019534162,-0.0025829969477282333,0.0026738005776354296,4.676000004659854e-07,0.00023324749999999997,-0.0026636075000002436
23,24,Zn,12.393371231029294,12.395428082061592,0.002056851032298468,0.002393530815156462,0.0005300960000002286,0.0003051622999999183,0.002314057899998631
19,20,Zn,12.393371398987929,12.395428002065396,0.00205660307746669,0.00239347945678795,6.960999996060975e-07,-0.0006112830999995378,0.0023141037999981086
20,21,Zn,12.393371202464456,12.395428040082873,0.002056837618416907,0.002393132584422523,-0.0005287713000003661,0.00030518810000006245,0.002313945699997971
168,169,O,10.8848389165136,10.882529951857492,-0.002308964656107193,0.002361777225886161,6.535990000008356e-05,-3.8156700000402226e-05,-0.0023605642999993855
165,166,O,10.8848389165136,10.882530113378486,-0.00230880313511328,0.0023613408534306547,-6.410609999980604e-05,-3.777700000065172e-05,-0.002360168200000665
169,170,O,10.884839047188523,10.88253037679899,-0.002308670389533418,0.002361219435395692,3.1990000008677355e-07,7.446920000064778e-05,-0.0023600447999996958
107,108,O,6.6296297139700044,6.6296064821515,-2.3231818504498847e-05,0.002265451231727417,-0.001903276500000277,0.0010988114,0.000549928499999778
108,109,O,6.629629815698762,6.6296062494356205,-2.3566263141816535e-05,0.0022625008215001407,3.050000000868764e-07,-0.0021947914000000263,0.0005493637999993587
113,114,O,6.6296297139700044,6.629606567847842,-2.3146122162032157e-05,0.0022622000866740245,0.0019006473000006594,0.0010969038,0.0005494461999993515
144,145,O,11.247045652055833,11.245011437067394,-0.0020342149884395866,0.0020416144765835103,0.0004866472000001132,0.00011613900000009366,0.001979362500000035
150,151,O,11.247045652055833,11.245011493113772,-0.0020341589420613815,0.002041576607278634,-0.0004865378999998501,0.00011634690000009049,0.0019793380999999577
