atom_index_0based,atom_index_1based,element,initial_distance_from_vacancy_A,final_distance_from_vacancy_A,radial_change_A,displacement_A,dx_A,dy_A,dz_A
109,110,O,5.708285642413807,5.693647724643262,-0.014637917770544462,0.01463909128997582,-0.008537660700000966,-0.004909380099999852,0.01083094320000019
110,111,O,5.70828515105281,5.69364798997357,-0.01463716107924018,0.014638333632087287,-1.7895999999560132e-05,0.0098481132,0.010830288900000202
112,113,O,5.708285518378438,5.693976676503843,-0.014308841874594691,0.014311387822319445,0.008280076300000067,-0.004781932800000122,0.010648440100000258
97,98,O,3.3715683995956547,3.361370120542291,-0.010198279053363901,0.01389893498608271,0.002731190400000764,-0.01336808160000024,0.0026486575999990465
90,91,O,3.371567533570253,3.361372851170868,-0.010194682399385258,0.013897343215737545,0.012942848900000503,0.004314522600000001,0.0026464514999998373
91,92,O,3.3715679999999995,3.361056561155473,-0.010511438844526655,0.013896874905248942,0.010523693200000031,0.008662860499999658,0.002707371699999201
94,95,O,3.371568399595654,3.361058409356484,-0.010509990239169653,0.013895889297064984,-0.0022412141000002755,-0.01344400690000067,0.002707651599999434
96,97,O,3.371568000000001,3.3612650938519133,-0.010302906148087487,0.013774179623629394,-0.010315300700000349,0.008745158200000124,0.0026162575999985303
93,94,O,3.371567533570254,3.361270543823735,-0.010296989746518825,0.013770590198408024,-0.012729523700000906,0.004554860800000029,0.0026156497999979844
43,44,In,4.577901560507828,4.569838912579275,-0.008062647928553268,0.011866378388805363,-0.0003366994000005264,-0.002637288900000114,0.011564699600001827
39,40,In,4.577901216988088,4.569843931178204,-0.008057285809883297,0.011862559106845557,0.0021177498999993016,0.0016071837999999947,0.011560813300000783
36,37,In,4.577901216988087,4.569873276426967,-0.008027940561119884,0.011813744522766833,-0.0021376752999996314,0.001633532800000024,0.01150332449999994
44,45,In,4.577901854805104,4.569873237053729,-0.008028617751374867,0.011812843676068732,-0.0024857253999994253,0.0010333547999996475,0.011502026900001253
37,38,In,4.5779015605078275,4.5698304462308785,-0.008071114276948954,0.011769151667203616,0.0004297958999999068,-0.002577197800000065,0.01147546330000056
41,42,In,4.577901854805103,4.569831168479039,-0.008070686326063559,0.011768318438254833,0.002447422199999775,0.0009163649000000845,0.011474481200000495
16,17,Zn,4.225989224152022,4.217242321362616,-0.008746902789405375,0.010426172179456558,-0.003635696599999904,-0.0011547343000002264,-0.009703265700001523
